#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-29 18:56:13
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2018-03-29 18:56:12 W3SVC805 GET / - - 188.165.26.121 HTTP/1.1 Mozilla/5.0+(X11;+Ubuntu;+Linux+x86_64;+rv:26.0)+Gecko/20100101+Firefox/26.0 - https://google.com/ ashokafurniturehouse.com 200 0 0 6281 421 871
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-29 20:09:51
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2018-03-29 20:09:51 W3SVC805 POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php - - 5.188.203.40 HTTP/1.1 NYU+Internet+Census+(https://scan.lol;+research@scan.lol) - - ashokafurniturehouse.com 404 0 64 2736 375 423
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-29 23:52:46
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2018-03-29 23:52:46 W3SVC805 GET / - - 180.76.15.9 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - ashokafurniturehouse.com 304 0 0 230 312 617
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 07:44:18
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
